,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
CL,578,CL,101,2018-06-01,52.0,False,3.9512437185814275,-0.1290622317664183,4.080305950347846
CL,579,CL,102,2018-07-01,66.0,False,4.189654742026425,0.10456472525351046,4.085090016772915
CL,580,CL,103,2018-08-01,64.0,False,4.1588830833596715,0.070386484147277,4.0884965992123945
CL,581,CL,104,2018-09-01,57.0,False,4.04305126783455,-0.04753092195823694,4.090582189792787
CL,582,CL,105,2018-10-01,63.0,False,4.143134726391533,0.05055833768181728,4.092576388709715
CL,583,CL,106,2018-11-01,60.0,False,4.0943445622221,-0.0005720519040668393,4.094916614126167
CL,584,CL,107,2018-12-01,49.0,False,3.8918202981106265,-0.20706262505586936,4.098882923166496
CL,585,CL,108,2019-01-01,63.0,False,4.143134726391533,0.03738888763488202,4.105745838756651
CL,586,CL,109,2019-02-01,62.0,False,4.127134385045092,0.013809544973439003,4.113324840071653
CL,587,CL,110,2019-03-01,65.0,False,4.174387269895637,0.05432471548186246,4.120062554413774
CL,588,CL,111,2019-04-01,64.0,False,4.1588830833596715,0.03425131519149538,4.124631768168176
CL,589,CL,112,2019-05-01,59.0,False,4.07753744390572,-0.04907323573899358,4.126610679644713
CL,590,CL,113,2019-06-01,56.0,False,4.02535169073515,-0.10079665167128482,4.1261483424064345
CL,591,CL,114,2019-07-01,67.0,False,4.204692619390966,0.08211669663689403,4.122575922754072
CL,592,CL,115,2019-08-01,69.0,False,4.23410650459726,0.12056186180342277,4.113544642793837
CL,593,CL,116,2019-09-01,63.0,False,4.143134726391533,0.04506039014897567,4.098074336242557
CL,594,CL,117,2019-10-01,58.0,False,4.060443010546419,-0.01675119063403141,4.0771942011804505
CL,595,CL,118,2019-11-01,58.0,False,4.060443010546419,0.007758568356198481,4.052684442190221
CL,596,CL,119,2019-12-01,53.0,False,3.970291913552122,-0.05575416379188214,4.026046077344004
CL,597,CL,120,2020-01-01,65.0,False,4.174387269895637,0.1754778357090956,3.998909434186541
CL,598,CL,121,2020-02-01,61.0,False,4.110873864173311,0.13889825997393634,3.971975604199375
CL,599,CL,122,2020-03-01,45.0,False,3.8066624897703196,-0.14220781968887852,3.948870309459198
CL,600,CL,123,2020-04-01,42.0,False,3.7376696182833684,-0.19786462475889932,3.9355342430422677
CL,601,CL,124,2020-05-01,41.0,False,3.713572066704308,-0.22196590099238245,3.9355379676966904
CL,602,CL,125,2020-06-01,45.0,False,3.8066624897703196,-0.1424918126542729,3.9491543024245925
CL,603,CL,126,2020-07-01,56.0,False,4.02535169073515,0.05239505619025575,3.972956634544894
CL,604,CL,127,2020-08-01,55.0,False,4.007333185232471,0.006189697400197147,4.001143487832274
CL,605,CL,128,2020-09-01,69.0,False,4.23410650459726,0.20531986759934284,4.028786636997917
CL,606,CL,129,2020-10-01,68.0,False,4.219507705176107,0.1684466867997605,4.0510610183763465
CL,607,CL,130,2020-11-01,58.0,False,4.060443010546419,-0.0061205555489936,4.066563566095413
CL,608,CL,131,2020-12-01,50.0,False,3.912023005428146,-0.16467565363481595,4.076698659062962
CL,609,CL,132,2021-01-01,66.0,False,4.189654742026425,0.10688607509873549,4.08276866692769
CL,610,CL,133,2021-02-01,66.0,False,4.189654742026425,0.10632337691537685,4.083331365111048
CL,611,CL,134,2021-03-01,59.0,False,4.07753744390572,-0.0011885197137493364,4.078725963619469
CL,612,CL,135,2021-04-01,55.0,False,4.007333185232471,-0.063730543508834,4.071063728741305
CL,613,CL,136,2021-05-01,53.0,False,3.970291913552122,-0.09214420455088801,4.06243611810301
CL,614,CL,137,2021-06-01,54.0,False,3.9889840465642745,-0.06488836704162004,4.053872413605895
CL,615,CL,138,2021-07-01,63.0,False,4.143134726391533,0.09826856598278066,4.044866160408752
CL,616,CL,139,2021-08-01,61.0,False,4.110873864173311,0.07704443328696176,4.03382943088635
CL,617,CL,140,2021-09-01,58.0,False,4.060443010546419,0.039630903699918285,4.020812106846501
CL,618,CL,141,2021-10-01,51.0,False,3.9318256327243257,-0.07532251126081091,4.007148143985137
CL,619,CL,142,2021-11-01,49.0,False,3.8918202981106265,-0.10301171494923045,3.994832013059857
CL,620,CL,143,2021-12-01,49.0,False,3.8918202981106265,-0.09278251152995232,3.984602809640579
CL,621,CL,144,2022-01-01,55.0,False,4.007333185232471,0.03185041785107012,3.975482767381401
CL,622,CL,145,2022-02-01,55.0,False,4.007333185232471,0.04238544048821424,3.964947744744257
CL,623,CL,146,2022-03-01,63.0,False,4.143134726391533,0.19213028590293746,3.951004440488595
CL,624,CL,147,2022-04-01,52.0,False,3.9512437185814275,0.018877741199427422,3.932365977382
CL,625,CL,148,2022-05-01,51.0,False,3.9318256327243257,0.020877983100553887,3.910947649623772
CL,626,CL,149,2022-06-01,47.0,False,3.8501476017100584,-0.0388317787231407,3.888979380433199
CL,627,CL,150,2022-07-01,46.0,False,3.828641396489095,-0.04039766292548563,3.8690390594145807
CL,628,CL,151,2022-08-01,47.0,False,3.8501476017100584,-0.0029097781501015163,3.85305737986016
CL,629,CL,152,2022-09-01,45.0,False,3.8066624897703196,-0.03562925090976998,3.8422917406800896
CL,630,CL,153,2022-10-01,46.0,False,3.828641396489095,-0.009309647992927328,3.8379510444820224
CL,631,CL,154,2022-11-01,41.0,False,3.713572066704308,-0.12707830632081052,3.8406503730251185
CL,632,CL,155,2022-12-01,42.0,False,3.7376696182833684,-0.11318002898528778,3.850849647268656
CL,633,CL,156,2023-01-01,55.0,False,4.007333185232471,0.14044236883257089,3.8668908163999003
CL,634,CL,157,2023-02-01,49.0,False,3.8918202981106265,0.0065908023209346744,3.885229495789692
CL,635,CL,158,2023-03-01,53.0,False,3.970291913552122,0.06562990659603729,3.9046620069560847
CO,636,CO,0,2010-01-01,100.0,False,4.605170185988092,-1.3436760529671288,5.948846238955221
CO,637,CO,1,2010-02-01,97.0,False,4.574710978503383,-0.34203751908396995,4.916748497587353
CO,638,CO,2,2010-03-01,87.0,False,4.465908118654584,0.6036519633178834,3.8622561553367003
CO,639,CO,3,2010-04-01,84.0,False,4.430816798843313,1.6735428128409024,2.757273986002411
CO,640,CO,4,2010-05-01,77.0,False,4.343805421853684,2.7600377924147534,1.5837676294389307
CO,641,CO,5,2010-06-01,88.0,False,4.477336814478207,4.125741708763485,0.3515951057147215
CO,642,CO,6,2010-07-01,0.0,False,-4.605170185988091,-3.7217852507599143,-0.8833849352281766
CO,643,CO,7,2010-08-01,0.0,False,-4.605170185988091,-2.6086187043530944,-1.9965514816349965
CO,644,CO,8,2010-09-01,0.0,False,-4.605170185988091,-1.6798569100577874,-2.9253132759303035
CO,645,CO,9,2010-10-01,0.0,False,-4.605170185988091,-0.9546141470435447,-3.650556038944546
CO,646,CO,10,2010-11-01,0.0,False,-4.605170185988091,-0.42400707931228787,-4.181163106675803
CO,647,CO,11,2010-12-01,0.0,False,-4.605170185988091,-0.06324213508188148,-4.541928050906209
CO,648,CO,12,2011-01-01,0.0,False,-4.605170185988091,0.1595410420850163,-4.764711228073107
CO,649,CO,13,2011-02-01,0.0,False,-4.605170185988091,0.27725684421044416,-4.882427030198535
CO,650,CO,14,2011-03-01,0.0,False,-4.605170185988091,0.32016064594835836,-4.925330831936449
CO,651,CO,15,2011-04-01,0.0,False,-4.605170185988091,0.3138868745492056,-4.9190570605372965
CO,652,CO,16,2011-05-01,0.0,False,-4.605170185988091,0.2787339464976304,-4.883904132485721
CO,653,CO,17,2011-06-01,0.0,False,-4.605170185988091,0.2297688303691201,-4.834939016357211
CO,654,CO,18,2011-07-01,0.0,False,-4.605170185988091,0.17741292896420013,-4.782583114952291
CO,655,CO,19,2011-08-01,0.0,False,-4.605170185988091,0.12825816457724937,-4.73342835056534
CO,656,CO,20,2011-09-01,0.0,False,-4.605170185988091,0.08593957735323965,-4.691109763341331
CO,657,CO,21,2011-10-01,0.0,False,-4.605170185988091,0.05195457136085668,-4.657124757348948
CO,658,CO,22,2011-11-01,0.0,False,-4.605170185988091,0.026368224379561767,-4.631538410367653
CO,659,CO,23,2011-12-01,0.0,False,-4.605170185988091,0.008379704666137577,-4.6135498906542285
CO,660,CO,24,2012-01-01,0.0,False,-4.605170185988091,-0.0032512899289631747,-4.601918896059128
